0,VPD_RECO
1,0.4758008120581895
2,-0.6737418371195281
3,-0.6448633895820176
4,0.748527552855192
5,0.6377591318999783
6,-0.19511077158135978
7,-0.3880763201488052
8,0.21527883880825052
9,0.10765567508268926
10,0.314474863535186
11,0.2860627177700349
12,0.37602108036890636
13,0.4568333515701936
14,0.404008854141118
15,0.37668258792878856
16,-0.5213641714079117
17,-0.540688889831216
18,-0.42314372557533647
19,-0.3922106200018754
20,0.031376409250523624
21,-0.09955181851502627
22,-0.6125286478227654
23,-0.45930469254573214
24,0.5496103195055421
25,0.5827679782903663
26,0.7541482254728142
27,-0.7049394573312671
28,0.23495419309372795
29,0.4563777307963354
30,0.6785190615835777
31,-0.06662082684276237
32,0.19435483870967743
33,-0.017338709677419357
