0,std_VPD,std_AVP
1,6.984408126855127,2.2603308288399298
2,6.23014045362197,1.7431574521991726
3,4.432172485638687,1.8463327269199057
4,2.615861968716129,2.307001447881177
5,3.230196699210461,1.4982998655474284
6,3.3583219395413653,1.747856056824131
7,2.1410999948151836,1.7847663675513656
8,2.7465132921166027,1.810057113762688
9,3.412181499282465,0.7464310450196646
10,3.5360964409333357,1.6345079598512073
11,4.296533409987688,1.1046108330985773
12,7.346756003590589,1.6342639228939813
13,5.1999744443814615,2.101676515826126
14,7.546000977144515,1.9684327943335789
15,7.758015204895916,2.183857460193346
16,5.5059100628317825,1.832616900291488
17,8.038304199895755,1.772775696110044
18,9.217843069261654,1.8149884217933683
19,9.481082436738822,1.6874188995226311
20,6.604637373899484,2.591011432229998
21,5.924796062781708,1.571082190801389
22,3.7787290464648593,1.863810694981684
23,2.5563585353394416,1.7877611917230416
24,1.963490864000123,1.5539813000336347
25,2.0762604676451777,1.1584407426763321
26,3.655648370102537,1.229007216830291
27,2.8465075671156495,1.1368706960018196
28,4.256093464634542,1.1070910398311045
29,4.812533641186817,1.979372042323796
30,6.933936377783682,1.6891972442674144
31,5.131753072170908,1.9047191443582638
32,5.6548693481892816,1.8622490342584317
33,6.358520248117201,2.2842739641389054
34,7.1791053856689,1.898603548246623
35,5.512932513110177,1.7466315571023692
36,5.3670175576181505,1.7301908467642753
37,3.134585873084303,1.9789004851687795
38,4.3018466592282065,2.1933898877593445
39,3.385317627292656,1.9466712298131499
40,2.1185798756511347,3.1236220266230057
41,4.018263695717575,1.4157109788937257
42,3.4917323438905687,1.5882337833578786
43,4.703910455279583,1.745356861283222
44,7.055036952762455,1.742944424535913
45,5.229947948575864,2.1498815028978466
46,8.185341065434148,2.067215006441098
47,4.789878991415096,1.872679477037683
48,6.116268542154462,2.429646695315727
49,3.390867266952167,1.6470534830473584
50,5.849891817820477,2.274541947657231
51,3.616203877247657,1.8516839403413339
52,1.4420176962193956,1.8257169529692359
53,3.4447761232378724,1.6006905740998119
54,3.4763131870786457,1.614458843284608
55,0.1781372806845213,1.2734851436452803
56,2.1577080306913343,1.4410648655313483
57,3.395371721089607,1.2126054284475583
58,3.9949345012300816,1.261899766916272
59,4.018433154026293,1.5132435283055723
60,4.7692333559462465,1.994552812301695
61,3.005119688984372,2.303169770596059
62,8.097362166265423,3.8340510514461377
63,7.101304228210281,2.0788498947031884
64,9.127466047285518,2.020047360217496
65,8.758439103226701,2.299054773909083
66,5.506902639087326,1.4074248181859326
67,5.371912532438781,2.397611424308829
68,5.920504331855234,2.385673204411928
69,5.001702932779001,1.8383561542882016
70,3.960322823611038,1.3492238794274083
71,2.735059045878981,3.06934645705716
72,2.358496421706375,1.4162662724039838
73,0.677024898434262,1.0154308672983956
74,3.829154612321332,1.2448630346840686
75,2.8632968560389385,1.197277351746734
76,5.686465841900696,0.9319736355680389
77,5.946806141534487,1.191574131786903
78,5.830713584174503,1.3496092742214085
79,5.983256304672689,2.2399940218327994
80,6.251007782215279,1.6947393022179114
81,6.013051086625527,2.1876451775171883
82,7.94525628388054,2.436267256008281
83,7.1761611238826015,2.6374129502793746
84,5.178077001307895,1.782447766912989
85,4.878517925267137,2.165168459915093
86,3.6430010389024656,1.7459665174091055
87,4.104554230927849,1.6601249739904884
88,3.4135449693412596,1.7162273410178803
89,2.0339723830729954,1.162805821728775
90,1.2531064965352907,1.3721995632377855
91,1.8419729362559336,1.4018580244923484
92,1.7599955040534034,1.4159668349080927
93,3.1017729026422893,1.1360913341524441
94,3.493599255476856,1.2309943023785497
95,4.945075662829558,0.9734027565802109
96,5.893066858922664,1.4587180206155868
97,5.521263794587892,1.3689878878493709
98,6.428969732462442,3.2529776823441217
99,5.926529020132591,1.807720957509976
100,3.990684223914249,2.1145299744352903
101,5.486046588720258,2.1055413980050974
102,5.138189385572137,1.914473224051043
103,5.664037497080447,1.6874507943040231
104,2.210347310242492,2.9035098531062427
105,2.8924066828472705,1.586004437186457
106,3.1203900965097646,1.9634055676746713
107,2.9798066068162625,1.3066335808174527
108,1.1709041922376446,1.3233379636733595
109,0.282859533719428,1.0647775865193339
110,2.111403939687015,1.2872180409900622
111,3.9371613717958946,0.9608729765728113
112,4.631192133586397,1.0523804474963974
113,4.30673057095346,1.272459006839724
114,5.7527280591170635,1.8669230605679612
115,5.386311139749154,2.0798582881593006
116,5.947417842824967,2.25791412733749
117,3.262329261803478,2.066176002210513
118,4.863125619072847,3.1447733303272405
119,6.601437609170888,1.9854562766038175
120,6.716686862128448,1.5099742314182234
121,4.7569477376856,2.742861642906934
122,4.153083484547585,2.2757874948252628
123,3.8933491638162754,1.8864812286614263
124,2.4685484905379034,3.7108545374154622
125,2.1225010096293713,1.5522108180626204
126,1.2881249508658739,1.205763183540286
127,1.3369661821275727,1.6837108906981493
128,2.4396073295997778,0.8950342695915171
129,3.372265639620738,1.1578804852162239
130,3.4276370626517463,0.9952165036985705
131,4.867472776274159,1.6768570628738197
132,2.6236424334331083,1.2674198327568007
133,4.201382093364569,1.867890903116781
134,7.404996621609065,1.9330305434886546
135,5.8836390182094975,2.078916333166652
136,7.473794896150296,2.512555726690867
137,5.602563502537846,2.3233604487169512
138,3.5065971430820975,1.793334501173947
139,4.561367837712522,3.2152465285652068
140,3.429496431891718,1.639101683153643
141,3.7975233163806723,1.6696316180990063
142,3.6337096187538154,2.332997902008854
143,2.038601041971091,1.135721873418071
144,2.253585577693391,1.5879540542819395
145,1.1450551341844395,1.6287847302043563
146,0.8064873944109419,1.8074140072392637
147,3.658577525871284,1.4682639963090869
148,4.889930254273464,1.2340260898498272
149,4.904597162463158,1.3731947329464602
150,5.581179159932104,1.9714811198605582
151,5.599769449563428,1.9868787500492584
152,5.682498126488417,1.4868695245453485
153,5.218146936619625,1.9628651682822078
154,7.001046843794891,2.4350541964225574
155,4.066202208020455,1.8316071198096888
156,4.776448309308751,2.144458798428171
157,7.964091467118883,2.148027575375194
158,4.526194657279533,2.4996947850226183
159,4.478837559178767,2.9637234798737904
160,4.417808953157348,2.2977273498672908
161,2.9194784614983504,1.9656637284908984
162,3.573104281457909,1.4109881979055758
163,2.040178954387089,0.8037520718929255
164,0.4963764489499326,1.056937471849515
165,3.3522220253459505,0.9217925092682747
166,3.8033596192304135,1.4217960194198542
167,2.518005924680956,1.2120747639170264
168,5.429776502627678,1.4069146721024908
169,5.350482133121269,2.0387731971543204
170,4.509710850820408,2.0943799892135315
171,7.340339784548228,2.1563346337662592
172,6.589695029801084,2.039361171408004
173,4.3199468488242605,1.8660063089933114
174,5.865687346636169,2.308304248975944
175,6.4581441151491115,1.655363256766003
176,4.411678971743104,2.8278890564901067
177,4.520889800260939,2.5237009283813747
178,3.6027853938827663,1.8011670315661108
179,2.651447785259074,2.081418111994228
180,2.874782831408386,2.0579383681485695
